family,global_step,checkpoint,model_name,embedding_dim,train_accuracy_mean,train_accuracy_std,train_macro_f1_mean,train_macro_f1_std,train_balanced_accuracy_mean,train_balanced_accuracy_std,validation_accuracy_mean,validation_accuracy_std,validation_macro_f1_mean,validation_macro_f1_std,validation_balanced_accuracy_mean,validation_balanced_accuracy_std,test_accuracy_mean,test_accuracy_std,test_macro_f1_mean,test_macro_f1_std,test_balanced_accuracy_mean,test_balanced_accuracy_std
VitLargePatch14_OfficialTrain5_Epoch5_2504,4000,step_4000.pt,vit_large_patch14_dinov2.lvd142m,1024,0.623851497968038,0.0012851669610482019,0.6049767335255941,0.001352922161942576,0.6383678515752157,0.0015791974050568224,0.5916713873545328,0.012919494466030261,0.5681509375572205,0.014237109733598843,0.5960151553153992,0.016141808910486298,0.6137298941612244,0.015206822811893861,0.591536263624827,0.013006305287605515,0.6182224949200948,0.006837966679694246
VitLargePatch14_OfficialTrain5_Epoch5_2504,8000,step_8000.pt,vit_large_patch14_dinov2.lvd142m,1024,0.6470215121905009,0.0016427639859084699,0.6292350689570109,0.000503064643760245,0.6659045219421387,0.00048391847837877156,0.6184284687042236,0.005652904510498047,0.5975337823232015,0.00926046743043108,0.6312020619710287,0.012628000614972924,0.6341189543406168,0.013757172511056194,0.6116075913111368,0.011980576637048032,0.6416484117507935,0.00756545960691321
VitLargePatch14_OfficialTrain5_Epoch5_2504,10988,last_epoch_0.pt,vit_large_patch14_dinov2.lvd142m,1024,0.6759957472483317,0.0020757775448273555,0.6590374112129211,0.0028061374194692703,0.6921607454617819,0.0021635550981975392,0.6402864257494608,0.008653437962563558,0.6194126208623251,0.003602597331878282,0.6505678097407023,0.004465702805032632,0.6584361990292867,0.01446389488704676,0.640573779741923,0.010253028718334065,0.6708141366640726,0.0077228662145706235
VitLargePatch14_OfficialTrain5_Epoch5_2504,12000,step_12000.pt,vit_large_patch14_dinov2.lvd142m,1024,0.6840089360872904,0.0024747867347735993,0.66713547706604,0.002191254390441096,0.6999509334564209,0.0022722711368895663,0.6478236317634583,0.0031474040280032116,0.6247597734133402,0.004391419647546456,0.6514645417531332,0.004014438388131434,0.663860817750295,0.008908228806499122,0.6432181795438131,0.007046447314973604,0.6706266204516093,0.006343407688958414
VitLargePatch14_OfficialTrain5_Epoch5_2504,16000,step_16000.pt,vit_large_patch14_dinov2.lvd142m,1024,0.7144166429837545,0.001869185575132494,0.7009657820065817,0.0025559519829318872,0.7335998217264811,0.0025772602060598346,0.660260021686554,0.007217145344929596,0.6386965115865072,0.010794366281673493,0.6664786338806152,0.010538102577343425,0.6825664043426514,0.012677109031922974,0.6654537717501322,0.006938265651021694,0.691370685895284,0.007936584010997293
VitLargePatch14_OfficialTrain5_Epoch5_2504,20000,step_20000.pt,vit_large_patch14_dinov2.lvd142m,1024,0.7221008141835531,0.013954835081556578,0.7070047855377197,0.01753832517111447,0.7376303474108378,0.01583664461049112,0.6770303249359131,0.007068048852674465,0.6552563110987345,0.00532880996517524,0.6826746265093485,0.004786309500943822,0.6956603129704794,0.0164215355232962,0.6763421893119812,0.014552979489694504,0.701880137125651,0.011767914444163393
VitLargePatch14_OfficialTrain5_Epoch5_2504,22988,last_epoch_1.pt,vit_large_patch14_dinov2.lvd142m,1024,0.7403595447540283,0.000428806655727916,0.7259976069132487,0.002232937585748882,0.7560858527819315,0.0015699393087913337,0.6836254199345907,0.007180153069846453,0.6605681379636129,0.007317190663199577,0.6884218255678812,0.003926170063346385,0.6954732537269592,0.013164524567158694,0.6793981989224752,0.00896551353753412,0.7024282415707906,0.006603049756760617
VitLargePatch14_OfficialTrain5_Epoch5_2504,24000,step_24000.pt,vit_large_patch14_dinov2.lvd142m,1024,0.7416519721349081,0.00172731353351319,0.7283608714739481,0.0014374700694532846,0.758303721745809,0.0008837844938760829,0.6804221073786417,0.006201041287594664,0.6590622862180074,0.007164655571642442,0.6882099509239197,0.006064555214341134,0.6999625762303671,0.008949410981053339,0.6819480856259664,0.009645366457014876,0.7048760056495667,0.011887894904890927
VitLargePatch14_OfficialTrain5_Epoch5_2504,28000,step_28000.pt,vit_large_patch14_dinov2.lvd142m,1024,0.7471272548039755,0.0034737250139380577,0.7354907592137655,0.0027153570825576897,0.7646540204683939,0.002996745209836691,0.6860750118891398,0.0026714584469425522,0.6641633113225301,0.00335267589160156,0.688359260559082,0.004490095916712209,0.7007108132044474,0.004706212346103245,0.6826248566309611,0.007079315640190993,0.7030527194341024,0.008734663044829945
VitLargePatch14_OfficialTrain5_Epoch5_2504,32000,step_32000.pt,vit_large_patch14_dinov2.lvd142m,1024,0.7529549797375997,0.0022562752037740205,0.7411042849222819,0.001358990206959104,0.7706926465034485,0.0007528130368886408,0.6875824530919393,0.009532033008458412,0.6669472257296244,0.00768283696274423,0.6940129399299622,0.008137431415741525,0.7023943265279134,0.006479784625013457,0.6838934620221456,0.0035610015833985446,0.7051330208778381,0.007378058876400523
