model,head,test_r2_mean,test_r2_std,test_mae_mean,test_mae_std,test_rmse_mean,test_rmse_std,test_nmad_mean,test_nmad_std,test_outlier_fraction_mean,test_outlier_fraction_std,test_clipped_r2_mean,test_clipped_r2_std,test_clipped_mae_mean,test_clipped_mae_std,test_clipped_rmse_mean,test_clipped_rmse_std,test_clipped_nmad_mean,test_clipped_nmad_std,test_clipped_outlier_fraction_mean,test_clipped_outlier_fraction_std
astro_vit_large_step_52000,ridge,0.6230404512496508,0.17801595385845473,0.015160258083930348,0.000786231909921371,0.027128398211482746,0.013094516255155186,0.015748902223513887,0.0003980511968367006,0.015254237288135594,0.0023671949321989708,0.7392795946950839,0.014395711829103054,0.01471410822859123,0.0003865128700752006,0.019571657227784502,0.0005671200566384425,0.01573615642895163,0.00040979586011604465,0.014752538204749524,0.0025985218841254984
astro_vit_large_step_52000,knn,0.5574405362821186,0.1604280287292018,0.01727796671246816,0.0008583637414000553,0.029386551867664666,0.012525811326985986,0.01757349006717024,0.0006099410832526117,0.025310734463276842,0.005578966918654772,0.6630067628111247,0.0198835974175705,0.01683205224871479,0.00046080571923219843,0.022250849325912724,0.0007106229041752252,0.0175693689069769,0.0006167250876790999,0.024814981586706156,0.005521504624624625
astro_vit_large_step_52000,mlp,0.6051381043336332,0.18163895000052124,0.014734126827739197,0.0007248248840755365,0.02764829167813418,0.012965022959371887,0.014883154180362157,0.0004308698222833779,0.014576271186440679,0.003356183715246021,0.721503307028247,0.07698847737940906,0.014286695574943104,0.0004412138094052897,0.020096003272437983,0.0024981578489052117,0.014862712341167364,0.00043626818595879493,0.014074347456518536,0.003487074005484261
astro_vit_small_step_21000,ridge,0.564780249168572,0.1637804221925065,0.017038756276224153,0.0007561449374673912,0.029140767428565296,0.012611551622160067,0.01792621388794875,0.0004143312383956718,0.02192090395480226,0.00552145684757712,0.6740183817315853,0.01962054656812246,0.01659103299547501,0.00047395118903152374,0.02188248585143578,0.00065691539592565,0.01791538857954906,0.0004234514346186543,0.021422336902030374,0.0056751380292849665
astro_vit_small_step_21000,knn,0.5045531229371352,0.14054545885216044,0.0193498256478086,0.0007832329154671614,0.031040282068459907,0.011914480766664404,0.020591077135543517,0.0005578603905446116,0.031468926553672324,0.0063866524111368525,0.5973407675325679,0.01888169202532482,0.018909953205027887,0.00042390875045283287,0.024324946639835265,0.0006063471605129973,0.02058436067225871,0.0005586267677664251,0.03097582469430683,0.0064194032070238605
astro_vit_small_step_21000,mlp,0.5772930096632594,0.1712120277969027,0.016539002793840213,0.0009969946440725036,0.028717168701058032,0.012852162726286729,0.017058743829395113,0.0005918243413833586,0.02248587570621469,0.004446997255938362,0.6862676126826718,0.025525520423415146,0.01608981644064724,0.0005430377600701574,0.021461660810986032,0.0009045030190850226,0.017053295400086644,0.0005935054881701738,0.02198794740047662,0.004553059196219568
