model,direction,global_r2,uniform_mean_dimension_r2,explained_variance_weighted,mean_cosine
jepa,image_to_spectrum,0.7492475509643555,0.7492231130599976,0.7492594718933105,0.8398414850234985
clip,image_to_spectrum,0.5507032871246338,0.5505353212356567,0.5507215857505798,0.6979469060897827
jepa,spectrum_to_image,0.7364509701728821,0.7363912463188171,0.7364605665206909,0.8300796151161194
clip,spectrum_to_image,0.5490857362747192,0.5488408803939819,0.5490994453430176,0.6786633133888245
