model,scope,direction,matched_cosine_mean,matched_cosine_std,matched_minus_random,mean_rank,median_rank,mrr,num_queries,random_cosine_mean,recall_at_1,recall_at_10,recall_at_5
jepa,all_168280,image_to_spectrum,0.7763895392417908,0.19812516868114471,0.7522362470626831,5509.800540765391,2461.0,0.004519987601584296,168280,0.02415330521762371,0.0008676016163536962,0.007386498692655098,0.004023056810078441
jepa,all_168280,spectrum_to_image,0.7763895392417908,0.19812516868114471,0.7515357136726379,5629.803208937486,2577.0,0.003416150463126925,168280,0.02485382929444313,0.0005467078678393154,0.005134299976230093,0.0025552650344663657
jepa,test_29697,image_to_spectrum,0.778598427772522,0.19567261636257172,0.7537369728088379,953.9628918746001,429.0,0.017861111800333077,29697,0.02486143819987774,0.004613260598713675,0.03306731319661919,0.018048961174529414
jepa,test_29697,spectrum_to_image,0.778598427772522,0.19567261636257172,0.7549564242362976,975.6660605448362,454.0,0.014748553994825511,29697,0.02364199049770832,0.003198976327575176,0.026332626191197764,0.014311209886520524
clip,all_168280,image_to_spectrum,0.45484688878059387,0.10265741497278214,0.29983294010162354,4581.405288804373,1350.0,0.012558800499516335,168280,0.15501396358013153,0.0035833135250772524,0.024263132873781793,0.01403018778226765
clip,all_168280,spectrum_to_image,0.45484688878059387,0.10265741497278214,0.29971933364868164,5869.400647729974,1555.0,0.009542974360251942,168280,0.15512755513191223,0.0022462562396006656,0.018112669360589494,0.009929878773472784
clip,test_29697,image_to_spectrum,0.45589613914489746,0.1029583066701889,0.3002898395061493,790.8112940701081,230.0,0.04235359629723368,29697,0.15560629963874817,0.014883658281981346,0.08771929824561403,0.053776475738290065
clip,test_29697,spectrum_to_image,0.45589613914489746,0.1029583066701889,0.30018889904022217,1019.6801697141125,270.0,0.0344926206635609,29697,0.1557072550058365,0.010539785163484527,0.0719264572179008,0.04151934538842307
