space,representation,feature_dim,effective_rank,participation_ratio,largest_eigenvalue_share
J_I,raw,1024,28.2623291015625,12.766996383666992,0.1922069787979126
J_S,raw,768,26.07525062561035,10.081793785095215,0.22524070739746094
C_I,raw,1024,64.28732299804688,29.0511531829834,0.10109402239322662
C_S,raw,768,58.142879486083984,20.99590301513672,0.13927650451660156
J_I,projected,256,20.193824768066406,17.143001556396484,0.0993049368262291
J_S,projected,256,17.943620681762695,14.682765007019043,0.11118867993354797
C_I,projected,256,45.38899230957031,28.611778259277344,0.10175693780183792
C_S,projected,256,44.648712158203125,24.277238845825195,0.12817233800888062
